"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","7.6449","7.6449","7.6449","7.6449","","0.00%"
"12/31/2023","7.6449","7.6449","7.6449","7.6449","","0.24%"
"12/29/2023","7.6265","7.5666","7.6546","7.5525","","0.83%"
"12/28/2023","7.5635","7.5307","7.5765","7.5147","","0.55%"
"12/27/2023","7.5223","7.5539","7.5788","7.5022","","-0.37%"
"12/26/2023","7.5505","7.5651","7.6126","7.5331","","-0.13%"
"12/25/2023","7.5607","7.5679","7.5918","7.5410","","0.26%"
"12/22/2023","7.5413","7.6102","7.6329","7.5357","","-0.82%"
"12/21/2023","7.6033","7.6359","7.6567","7.5806","","-0.34%"
"12/20/2023","7.6294","7.6469","7.6670","7.6210","","-0.18%"
"12/19/2023","7.6433","7.6623","7.6840","7.6385","","-0.15%"
"12/18/2023","7.6551","7.7097","7.7618","7.6413","","-0.57%"
"12/15/2023","7.6987","7.7176","7.7386","7.6778","","-0.10%"
"12/14/2023","7.7062","7.7508","7.7597","7.6663","","-0.41%"
"12/13/2023","7.7382","7.7806","7.8078","7.7210","","-0.48%"
"12/12/2023","7.7753","7.8081","7.8254","7.7737","","-0.37%"
"12/11/2023","7.8044","7.7914","7.8261","7.7762","","0.21%"
"12/08/2023","7.7879","7.7594","7.8380","7.7434","","0.43%"
"12/07/2023","7.7548","7.8047","7.8170","7.7485","","-0.63%"
"12/06/2023","7.8040","7.8202","7.8362","7.7816","","-0.14%"
"12/05/2023","7.8150","7.7998","7.8337","7.7831","","0.28%"
"12/04/2023","7.7929","7.7929","7.8257","7.7718","","0.27%"
"12/01/2023","7.7719","7.8507","7.8678","7.7650","","-0.96%"
"11/30/2023","7.8469","7.7743","7.8755","7.7583","","0.96%"
"11/29/2023","7.7720","7.7530","7.7974","7.7309","","0.29%"
"11/28/2023","7.7498","7.8017","7.8176","7.7475","","-0.63%"
"11/27/2023","7.7988","7.7974","7.8365","7.7720","","0.11%"
"11/24/2023","7.7905","7.8229","7.8369","7.7755","","-0.21%"
"11/23/2023","7.8069","7.8045","7.8460","7.7628","","0.06%"
"11/22/2023","7.8019","7.8203","7.8504","7.7832","","-0.20%"
"11/21/2023","7.8174","7.8099","7.8319","7.7684","","0.17%"
"11/20/2023","7.8039","7.8293","7.8552","7.7987","","-0.12%"
"11/17/2023","7.8134","7.8614","7.8808","7.8210","","-0.54%"
"11/16/2023","7.8557","7.8127","7.8819","7.8002","","0.62%"
"11/15/2023","7.8075","7.8520","7.8716","7.7902","","-0.51%"
"11/14/2023","7.8478","7.9788","8.0042","7.8407","","-1.62%"
"11/13/2023","7.9771","8.0140","8.0273","7.9688","","-0.35%"
"11/10/2023","8.0048","8.0306","8.0487","7.9924","","-0.29%"
"11/09/2023","8.0284","8.0351","8.0484","7.9854","","0.01%"
"11/08/2023","8.0273","8.0620","8.0961","8.0239","","-0.34%"
"11/07/2023","8.0548","8.0792","8.0919","8.0496","","-0.21%"
"11/06/2023","8.0719","8.0526","8.0931","8.0312","","0.51%"
"11/03/2023","8.0311","8.1513","8.1669","8.0252","","-1.30%"
"11/02/2023","8.1371","8.1739","8.1849","8.1256","","-0.41%"
"11/01/2023","8.1703","8.1594","8.2016","8.1419","","0.21%"
"10/31/2023","8.1532","8.1674","8.1827","8.1194","","-0.11%"
"10/30/2023","8.1620","8.1435","8.1752","8.1206","","0.36%"
"10/27/2023","8.1329","8.1528","8.1852","8.1171","","-0.13%"
"10/26/2023","8.1432","8.1315","8.1777","8.1152","","0.25%"
"10/25/2023","8.1226","8.1219","8.1585","8.0956","","0.01%"
"10/24/2023","8.1217","8.0309","8.1328","8.0015","","1.22%"
"10/23/2023","8.0240","7.9987","8.0693","7.9869","","0.56%"
"10/20/2023","7.9790","7.9844","8.0238","7.9706","","0.06%"
"10/19/2023","7.9743","8.0301","8.0511","7.9531","","-0.59%"
"10/18/2023","8.0215","7.9805","8.0397","7.9647","","0.66%"
"10/17/2023","7.9687","7.9848","8.0068","7.9594","","-0.12%"
"10/16/2023","7.9780","8.0606","8.0710","7.9767","","-0.82%"
"10/13/2023","8.0439","8.0288","8.0801","7.9745","","0.22%"
"10/12/2023","8.0262","8.0005","8.0326","7.9704","","0.39%"
"10/11/2023","7.9951","7.9771","8.0233","7.9634","","0.31%"
